,speakerid,lastname,congress_num,state,chamber,Mean_Republican_Logit_TF,Median_Republican_Logit_TF,Mean_Republican_Logit_Count,Median_Republican_Logit_Count,Mean_Republican_MNB_TF,Median_Republican_MNB_TF,Mean_Republican_MNB_Count,Median_Republican_MNB_Count,ideology,Mean_Republican_LSTM,Median_Republican_LSTM
599,114118540,barton,114,TX,H,0.4955593927456884,0.505066557552349,0.47809355881587096,0.4811991224310442,0.4711866987347345,0.4761335163302341,0.6036306646592713,0.6135803763252079,0.6865805749970836,0.4564252,0.5065573
600,114118550,bass,114,CA,H,0.3499830307397757,0.32484863934879643,0.3141449625193138,0.3777245276344603,0.35460980184125124,0.36682708436560285,0.09531702010042975,0.02746254822541583,0.2601159013228773,0.37105227,0.4152514
601,114118560,becerra,114,CA,H,0.36876705638943114,0.35381789793373675,0.3586069238721234,0.3912717774709644,0.3902035282118137,0.396273199274369,0.3240925013340511,0.22925387991225893,0.3456564934492305,0.3830571,0.37617704
602,114118570,benishek,114,MI,H,0.511664687536326,0.49560325179265724,0.5382423876687571,0.49568313371412953,0.4062442479079834,0.3910414243377214,0.27310655417796065,0.029080146315674935,0.7896579899677241,0.43336493,0.44130218
603,114118581,bennet,114,CO,S,0.4312630077703721,0.44634328115704125,0.44455525236645904,0.4376266359468021,0.3947416122520375,0.4135729089984912,0.2874226341717985,0.16403198400366678,0.4055912648173523,0.39124617,0.36195412
604,114118590,bilirakis,114,FL,H,0.47766142315546095,0.4816060617707033,0.5012236734175974,0.4924849979736291,0.3799437436218442,0.36627807547342983,0.24630155438533896,0.036930424417868334,0.764808791422292,0.46181422,0.4443143
605,114118600,bishop,114,UT,H,0.5631956351016831,0.5786439147877466,0.5447940829467548,0.5292322709684758,0.48352572077740047,0.4929476950402369,0.6668988443854164,0.7388078655437094,0.7547750423204606,0.4668236,0.46647096
606,114118610,bishop,114,GA,H,0.48335210366068704,0.45960405456439746,0.475036840205519,0.44368984897257363,0.4243674474485529,0.40501131431368265,0.40099373306887787,0.2785899685013892,0.44206413520488236,0.4415952,0.4247128
607,114118620,black,114,TN,H,0.6097683806389762,0.6259912208301364,0.6371874858998302,0.6264585568283961,0.49044858630587257,0.48430406003536375,0.6690561028037662,0.7814478990046125,0.8330255294953975,0.4946231,0.503834
608,114118630,blackburn,114,TN,H,0.5976683712557236,0.585935776009426,0.6156578443608343,0.5799670169369293,0.48584968619657776,0.4816334479890526,0.6347275468760554,0.7314504018024974,0.882860544594537,0.45675737,0.44747752
609,114118640,blumenauer,114,OR,H,0.39240854059923125,0.3761184641914971,0.35886344042278384,0.3667634835224815,0.4042792715692298,0.4063383574165035,0.3556750571914421,0.2200230655653791,0.24373710172359198,0.44118932,0.45302066
610,114118651,blumenthal,114,CT,S,0.3457703694931161,0.34219669169628253,0.33265803011186906,0.32632407709580635,0.3609433142091385,0.3709369180099636,0.19634199484953238,0.015523894608976097,0.11560422265191954,0.44316775,0.43946126
611,114118661,blunt,114,MO,S,0.46764650233778965,0.492249111677805,0.5110857716261125,0.5346143350265611,0.45018425988504085,0.45961186208699334,0.5473363100370991,0.5939144864231487,0.878383969121005,0.49727458,0.5173588
612,114118671,boozman,114,AR,S,0.41451375096355153,0.41389423027988836,0.3873610160110259,0.31026419225776825,0.37169795307201836,0.3719890514195232,0.20273179348828343,0.0072627782894394395,0.8979034208287437,0.4925202,0.47540146
613,114118680,bordallo,114,GU,H,0.3973315201002179,0.4136344501899147,0.38884192597632766,0.45345859509653574,0.36748435164801513,0.3602948768225095,0.1942166601252223,0.008345544204591503,0.34322004157710867,0.37281346,0.30565333
614,114118690,boustany,114,LA,H,0.5820901405002608,0.5650080525879415,0.6274528299224569,0.5947861237855266,0.4694587901926391,0.47613582640130814,0.5840597156478878,0.6333124301347737,0.8741559089705765,0.47234175,0.47159085
615,114118701,boxer,114,CA,S,0.35296006624513543,0.3429907780326744,0.356269710717371,0.31003626382992433,0.39293390638798104,0.40536746231562626,0.3261873631110621,0.23677607201523287,0.08952906970706655,0.42425415,0.41907138
616,114118710,brady,114,TX,H,0.5370358568722825,0.5527744718621792,0.5421578685976349,0.5064950318226461,0.462270889859292,0.4709284044514847,0.5400897239812166,0.5669702293933896,0.7022957980571114,0.48587194,0.47841048
617,114118720,brady,114,PA,H,0.3913655216895495,0.34841699946618615,0.41694209269874527,0.29103357592985557,0.39258435139857006,0.4148839557757732,0.23993254257395216,0.22300140905526755,0.3845690107418173,0.6288384,0.6885952
618,114118730,brooks,114,AL,H,0.6176757138863782,0.70706786202114,0.6526477565093938,0.6236792949184048,0.46872305447577495,0.4585795929111418,0.6387081536282733,0.7153074700928235,0.8700172405198661,0.40276688,0.3665214
619,114118740,brown,114,FL,H,0.3753341993236246,0.37699656515485924,0.3745590266920831,0.3678253529683899,0.3559721947240851,0.35951568365019926,0.15592387027374496,0.030279703474528193,0.259809736016236,0.4471818,0.45146477
